,product,date,year,Foundry,num_shading_units,num_compute_units,num_tensor_cores,flops,FP16_flops,FP32_flops,FP64_flops,timestamp,real_price_2020,process_size_in_nm,TDP_in_W,transistors_in_millions,die_size_in_mm,base_clock_in_MHz,bandwidth_in_GBs,bus_width_in_bit,GPU_clock_in_MHz,length_in_mm,memory_bus_in_bit,memory_clock_in_MHz,memory_size_in_MB,pixel_rate_in_MPixel_per_s,texture_rate_in_GTexel_per_s,num_cores
3542,ATI Mobility Radeon HD 5830,2010-01-07 12:00:00,2010.0,TSMC,800.0,10.0,,800000000000.0,,800000000000.0,,1262822400.0,,40,24.0,1040.0,166.0,,25.6,128.0,500.0,,128.0,800.0,1024.0,8000.0,20.0,800
3545,ATI Radeon HD 4830,2008-10-21 12:00:00,2008.0,TSMC,640.0,8.0,,736000000000.0,,736000000000.0,147200000000.0,1224547200.0,156.2701402209909,55,95.0,956.0,256.0,,57.6,256.0,575.0,246.0,256.0,900.0,512.0,9200.0,18.4,640
3546,AMD Radeon HD 6850 1440SP Edition,2012-08-21 12:00:00,2012.0,TSMC,1440.0,18.0,,2088000000000.0,,2088000000000.0,417600000000.0,1345507200.0,,40,151.0,2154.0,334.0,,128.0,256.0,725.0,241.0,256.0,1000.0,1024.0,23200.0,52.2,1440
3547,ATI Radeon HD 3610,2009-09-24 12:00:00,2009.0,TSMC,120.0,3.0,,142600000000.0,,142600000000.0,,1253750400.0,,65,35.0,390.0,153.0,,12.67,128.0,594.0,,128.0,396.0,512.0,2376.0,4.752,120
3548,AMD Radeon HD 6530D IGP,2011-06-20 12:00:00,2011.0,TSMC,320.0,4.0,,284200000000.0,,284200000000.0,,1308528000.0,,32,65.0,1178.0,227.0,,,,444.0,,,,,3552.0,7.104,320
3552,AMD FirePro M3900,2010-10-19 12:00:00,2010.0,TSMC,160.0,2.0,,240000000000.0,,240000000000.0,,1287446400.0,,40,20.0,370.0,67.0,,14.4,64.0,750.0,,64.0,900.0,1024.0,3000.0,6.0,160
3553,AMD Radeon HD 8670D IGP,2013-03-12 12:00:00,2013.0,TSMC,384.0,6.0,,648200000000.0,,648200000000.0,,1363046400.0,,32,100.0,1303.0,246.0,,,,844.0,,,,,6752.0,20.26,384
3554,NVIDIA GeForce GTS 450,2010-09-13 12:00:00,2010.0,TSMC,192.0,,,601300000000.0,,601300000000.0,50110000000.0,1284336000.0,153.11029735480793,40,106.0,1170.0,238.0,,57.73,128.0,783.0,210.0,128.0,902.0,1024.0,6264.0,25.06,192
3556,NVIDIA GeForce GTX 870M,2014-03-12 12:00:00,2014.0,TSMC,1344.0,,,2599000000000.0,,2599000000000.0,108300000000.0,1394582400.0,,28,100.0,3540.0,294.0,941.0,120.0,192.0,,,192.0,1250.0,3000.0,27080.0,108.3,1344
3557,NVIDIA GeForce GTX 960A,2015-03-13 12:00:00,2015.0,TSMC,640.0,,,1389000000000.0,,1389000000000.0,43400000000.0,1426204800.0,,28,75.0,1870.0,148.0,1029.0,80.19,128.0,,,128.0,1253.0,2000.0,17360.0,43.4,640
